Iteration,ms/it,Loss,Wall Time Duration (s)
20,559.64,0.088643,192.553
40,621.2,0.085613,188.38
60,473.23,0.084396,166.706
80,543.95,0.083794,189.437
100,511.03,0.083538,186.859
120,524.94,0.083489,170.807
140,519.97,0.083331,188.696
160,511.24,0.08347,183.655
180,541.59,0.083466,172.425
200,514.66,0.083413,189.798
220,528.91,0.083471,180.664
240,587.97,0.083466,176.485
260,563.23,0.08329,189.316
280,544.84,0.083395,184.106
300,511.56,0.083346,181.941
320,482.89,0.083311,184.637
340,506.95,0.083348,184.071
360,536.12,0.083304,186.127
380,554.95,0.083424,181.344
400,590.79,0.08342,187.797
420,632.92,0.083423,184.504
440,519.11,0.083351,178.077
